,sel,mig,pibin,pifreq
0,0.006,0.005,4,1
1,0.012,0.0,0,3
2,0.012,0.001,0,2
3,0.012,0.002,0,4
4,0.012,0.003,0,1
5,0.012,0.004,0,2
6,0.012,0.005,0,6
7,0.012,0.006,0,1
8,0.012,0.007,0,1
9,0.012,0.008,0,1
10,0.012,0.009,0,1
11,0.018,0.0,0,148
12,0.018,0.0,1,2
13,0.018,0.001,0,52
14,0.018,0.001,1,1
15,0.018,0.001,3,1
16,0.018,0.001,10,4
17,0.018,0.002,0,30
18,0.018,0.002,2,4
19,0.018,0.002,7,1
20,0.018,0.002,11,2
21,0.018,0.003,0,24
22,0.018,0.003,1,1
23,0.018,0.003,2,1
24,0.018,0.003,3,1
25,0.018,0.003,4,1
26,0.018,0.003,9,1
27,0.018,0.003,10,1
28,0.018,0.003,18,1
29,0.018,0.004,0,20
30,0.018,0.004,1,1
31,0.018,0.004,10,1
32,0.018,0.004,13,2
33,0.018,0.005,0,31
34,0.018,0.005,1,1
35,0.018,0.005,4,4
36,0.018,0.005,6,1
37,0.018,0.005,14,1
38,0.018,0.006,0,31
39,0.018,0.006,2,4
40,0.018,0.006,3,1
41,0.018,0.006,4,2
42,0.018,0.006,6,1
43,0.018,0.006,12,1
44,0.018,0.007,0,33
45,0.018,0.007,1,1
46,0.018,0.007,6,2
47,0.018,0.008,0,20
48,0.018,0.008,1,1
49,0.018,0.008,2,1
50,0.018,0.008,7,1
51,0.018,0.008,9,1
52,0.018,0.008,15,1
53,0.018,0.009,0,25
54,0.018,0.009,5,1
55,0.018,0.009,11,1
56,0.024,0.0,0,1924
57,0.024,0.0,1,21
58,0.024,0.0,2,15
59,0.024,0.0,7,5
60,0.024,0.0,9,4
61,0.024,0.001,0,1494
62,0.024,0.001,1,24
63,0.024,0.001,2,3
64,0.024,0.001,3,3
65,0.024,0.001,4,2
66,0.024,0.001,5,8
67,0.024,0.001,6,10
68,0.024,0.001,7,10
69,0.024,0.001,8,4
70,0.024,0.001,9,20
71,0.024,0.001,10,1
72,0.024,0.001,11,1
73,0.024,0.001,12,20
74,0.024,0.001,13,7
75,0.024,0.001,14,2
76,0.024,0.001,15,2
77,0.024,0.001,18,1
78,0.024,0.001,19,6
79,0.024,0.001,20,1
80,0.024,0.001,21,1
81,0.024,0.001,24,5
82,0.024,0.002,0,835
83,0.024,0.002,1,26
84,0.024,0.002,2,27
85,0.024,0.002,3,12
86,0.024,0.002,4,11
87,0.024,0.002,5,12
88,0.024,0.002,7,5
89,0.024,0.002,8,4
90,0.024,0.002,9,10
91,0.024,0.002,10,21
92,0.024,0.002,11,9
93,0.024,0.002,12,7
94,0.024,0.002,13,11
95,0.024,0.002,14,6
96,0.024,0.002,15,4
97,0.024,0.002,16,4
98,0.024,0.002,17,1
99,0.024,0.002,19,5
100,0.024,0.002,20,1
101,0.024,0.002,22,1
102,0.024,0.002,23,2
103,0.024,0.003,0,1160
104,0.024,0.003,1,46
105,0.024,0.003,2,27
106,0.024,0.003,3,16
107,0.024,0.003,4,11
108,0.024,0.003,5,16
109,0.024,0.003,6,5
110,0.024,0.003,7,2
111,0.024,0.003,8,12
112,0.024,0.003,9,18
113,0.024,0.003,10,17
114,0.024,0.003,11,6
115,0.024,0.003,13,6
116,0.024,0.003,14,1
117,0.024,0.003,15,8
118,0.024,0.003,16,5
119,0.024,0.003,17,1
120,0.024,0.003,19,20
121,0.024,0.003,20,4
122,0.024,0.003,22,1
123,0.024,0.004,0,989
124,0.024,0.004,1,22
125,0.024,0.004,2,31
126,0.024,0.004,3,18
127,0.024,0.004,4,13
128,0.024,0.004,5,24
129,0.024,0.004,6,17
130,0.024,0.004,7,14
131,0.024,0.004,8,6
132,0.024,0.004,9,18
133,0.024,0.004,10,9
134,0.024,0.004,11,3
135,0.024,0.004,12,6
136,0.024,0.004,14,6
137,0.024,0.004,15,10
138,0.024,0.004,16,3
139,0.024,0.004,17,6
140,0.024,0.004,18,1
141,0.024,0.004,21,17
142,0.024,0.005,0,872
143,0.024,0.005,1,60
144,0.024,0.005,2,10
145,0.024,0.005,3,15
146,0.024,0.005,4,13
147,0.024,0.005,5,11
148,0.024,0.005,6,8
149,0.024,0.005,7,16
