,sel,mig,idHap,piHap
0,0.0,0.0,R0,20.0
1,0.0,0.001,R0,20.0
2,0.0,0.002,R0,20.0
3,0.0,0.003,R0,20.0
4,0.0,0.004,R0,20.0
5,0.0,0.005,R0,20.0
6,0.0,0.006,R0,20.0
7,0.0,0.007,R0,20.0
8,0.0,0.008,R0,20.0
9,0.0,0.009,R0,20.0
10,0.006,0.0,R0,20.0
11,0.006,0.001,R0,20.0
12,0.006,0.002,R0,20.0
13,0.006,0.003,R0,20.0
14,0.006,0.004,R0,20.0
15,0.006,0.005,R0,20.0
16,0.006,0.006,R0,20.0
17,0.006,0.007,R0,20.0
18,0.006,0.008,R0,20.0
19,0.006,0.009,R0,20.0
20,0.012,0.0,R0,20.0
21,0.012,0.001,R0,20.0
22,0.012,0.002,R0,20.0
23,0.012,0.003,R0,20.0
24,0.012,0.004,R0,19.0
25,0.012,0.004,R1,1.0
26,0.012,0.005,R0,20.0
27,0.012,0.006,R0,20.0
28,0.012,0.007,R0,20.0
29,0.012,0.008,R0,20.0
30,0.012,0.009,R0,20.0
31,0.018,0.0,R0,20.0
32,0.018,0.001,R0,20.0
33,0.018,0.002,R0,20.0
34,0.018,0.003,R0,19.0
35,0.018,0.003,R1,1.0
36,0.018,0.004,R0,20.0
37,0.018,0.005,R0,20.0
38,0.018,0.006,R0,20.0
39,0.018,0.007,R0,20.0
40,0.018,0.008,R0,20.0
41,0.018,0.009,R0,20.0
42,0.024,0.0,R0,20.0
43,0.024,0.001,R0,19.0
44,0.024,0.001,R1,1.0
45,0.024,0.002,R0,20.0
46,0.024,0.003,R0,19.0
47,0.024,0.003,R1,1.0
48,0.024,0.004,R0,20.0
49,0.024,0.005,R0,17.0
50,0.024,0.005,R1,3.0
51,0.024,0.006,R0,19.0
52,0.024,0.006,R1,1.0
53,0.024,0.007,R0,18.0
54,0.024,0.007,R1,2.0
55,0.024,0.008,R0,20.0
56,0.024,0.009,R0,19.0
57,0.024,0.009,R1,1.0
58,0.03,0.0,R0,20.0
59,0.03,0.001,R0,16.0
60,0.03,0.001,R1,4.0
61,0.03,0.002,R0,17.0
62,0.03,0.002,R1,3.0
63,0.03,0.003,R0,20.0
64,0.03,0.004,R0,15.0
65,0.03,0.004,R1,5.0
66,0.03,0.005,R0,20.0
67,0.03,0.006,R0,8.0
68,0.03,0.006,R1,12.0
69,0.03,0.007,R0,19.0
70,0.03,0.007,R1,1.0
71,0.03,0.008,R0,18.0
72,0.03,0.008,R1,2.0
73,0.03,0.009,R0,18.0
74,0.03,0.009,R1,2.0
75,0.036,0.0,R0,20.0
76,0.036,0.001,R0,7.0
77,0.036,0.001,R1,13.0
78,0.036,0.002,R0,17.0
79,0.036,0.002,R1,1.0
80,0.036,0.002,R2,2.0
81,0.036,0.003,R0,13.0
82,0.036,0.003,R1,7.0
83,0.036,0.004,R0,5.0
84,0.036,0.004,R1,5.0
85,0.036,0.004,R2,10.0
86,0.036,0.005,R0,9.0
87,0.036,0.005,R1,11.0
88,0.036,0.006,R0,16.0
89,0.036,0.006,R1,4.0
90,0.036,0.007,R0,2.0
91,0.036,0.007,R1,1.0
92,0.036,0.007,R2,5.0
93,0.036,0.007,R3,12.0
94,0.036,0.008,R0,1.0
95,0.036,0.008,R1,2.0
96,0.036,0.008,R2,17.0
97,0.036,0.009,R0,4.0
98,0.036,0.009,R1,16.0
99,0.042,0.0,R0,14.0
100,0.042,0.0,R1,6.0
101,0.042,0.001,R0,0.0
102,0.042,0.001,R1,20.0
103,0.042,0.002,R0,1.0
104,0.042,0.002,R1,19.0
105,0.042,0.003,R0,0.0
106,0.042,0.003,R1,9.0
107,0.042,0.003,R2,11.0
108,0.042,0.004,R0,0.0
109,0.042,0.004,R1,20.0
110,0.042,0.005,R0,2.0
111,0.042,0.005,R1,1.0
112,0.042,0.005,R2,17.0
113,0.042,0.006,R0,10.0
114,0.042,0.006,R1,10.0
115,0.042,0.007,R0,1.0
116,0.042,0.007,R1,19.0
117,0.042,0.008,R0,0.0
118,0.042,0.008,R1,8.0
119,0.042,0.008,R2,12.0
120,0.042,0.009,R0,4.0
121,0.042,0.009,R1,1.0
122,0.042,0.009,R2,4.0
123,0.042,0.009,R3,11.0
124,0.048,0.0,R0,18.0
125,0.048,0.0,R1,2.0
126,0.048,0.001,R0,0.0
127,0.048,0.001,R1,7.0
128,0.048,0.001,R2,13.0
129,0.048,0.002,R0,1.0
130,0.048,0.002,R1,1.0
131,0.048,0.002,R2,1.0
132,0.048,0.002,R3,17.0
133,0.048,0.003,R0,1.0
134,0.048,0.003,R1,1.0
135,0.048,0.003,R2,18.0
136,0.048,0.004,R0,0.0
137,0.048,0.004,R1,5.0
138,0.048,0.004,R2,15.0
139,0.048,0.005,R0,0.0
140,0.048,0.005,R1,2.0
141,0.048,0.005,R2,18.0
142,0.048,0.006,R0,0.0
143,0.048,0.006,R1,8.0
144,0.048,0.006,R2,12.0
145,0.048,0.007,R0,0.0
146,0.048,0.007,R1,4.0
147,0.048,0.007,R2,16.0
148,0.048,0.008,R0,0.0
149,0.048,0.008,R1,1.0
150,0.048,0.008,R2,1.0
151,0.048,0.008,R3,1.0
152,0.048,0.008,R4,1.0
153,0.048,0.008,R5,1.0
154,0.048,0.008,R6,1.0
155,0.048,0.008,R7,1.0
156,0.048,0.008,R8,13.0
157,0.048,0.009,R0,0.0
158,0.048,0.009,R1,2.0
159,0.048,0.009,R2,6.0
160,0.048,0.009,R3,12.0
161,0.054,0.0,R0,20.0
162,0.054,0.001,R0,0.0
163,0.054,0.001,R1,1.0
164,0.054,0.001,R2,3.0
165,0.054,0.001,R3,16.0
166,0.054,0.002,R0,0.0
167,0.054,0.002,R1,2.0
168,0.054,0.002,R2,3.0
169,0.054,0.002,R3,15.0
170,0.054,0.003,R0,0.0
171,0.054,0.003,R1,1.0
172,0.054,0.003,R2,5.0
173,0.054,0.003,R3,14.0
174,0.054,0.004,R0,0.0
