,sel,mig,idHap,piHap
0,0.0,0.0,R0,20.0
1,0.0,0.001,R0,20.0
2,0.0,0.002,R0,20.0
3,0.0,0.003,R0,20.0
4,0.0,0.004,R0,20.0
5,0.0,0.005,R0,20.0
6,0.0,0.006,R0,20.0
7,0.0,0.007,R0,20.0
8,0.0,0.008,R0,20.0
9,0.0,0.009,R0,20.0
10,0.006,0.0,R0,20.0
11,0.006,0.001,R0,20.0
12,0.006,0.002,R0,20.0
13,0.006,0.003,R0,20.0
14,0.006,0.004,R0,20.0
15,0.006,0.005,R0,20.0
16,0.006,0.006,R0,20.0
17,0.006,0.007,R0,20.0
18,0.006,0.008,R0,20.0
19,0.006,0.009,R0,20.0
20,0.012,0.0,R0,20.0
21,0.012,0.001,R0,20.0
22,0.012,0.002,R0,20.0
23,0.012,0.003,R0,20.0
24,0.012,0.004,R0,20.0
25,0.012,0.005,R0,20.0
26,0.012,0.006,R0,20.0
27,0.012,0.007,R0,20.0
28,0.012,0.008,R0,20.0
29,0.012,0.009,R0,20.0
30,0.018,0.0,R0,20.0
31,0.018,0.001,R0,20.0
32,0.018,0.002,R0,20.0
33,0.018,0.003,R0,20.0
34,0.018,0.004,R0,20.0
35,0.018,0.005,R0,20.0
36,0.018,0.006,R0,20.0
37,0.018,0.007,R0,20.0
38,0.018,0.008,R0,20.0
39,0.018,0.009,R0,20.0
40,0.024,0.0,R0,20.0
41,0.024,0.001,R0,20.0
42,0.024,0.002,R0,20.0
43,0.024,0.003,R0,20.0
44,0.024,0.004,R0,20.0
45,0.024,0.005,R0,20.0
46,0.024,0.006,R0,20.0
47,0.024,0.007,R0,20.0
48,0.024,0.008,R0,20.0
49,0.024,0.009,R0,20.0
50,0.03,0.0,R0,20.0
51,0.03,0.001,R0,20.0
52,0.03,0.002,R0,20.0
53,0.03,0.003,R0,20.0
54,0.03,0.004,R0,20.0
55,0.03,0.005,R0,20.0
56,0.03,0.006,R0,20.0
57,0.03,0.007,R0,20.0
58,0.03,0.008,R0,20.0
59,0.03,0.009,R0,20.0
60,0.036,0.0,R0,20.0
61,0.036,0.001,R0,20.0
62,0.036,0.002,R0,20.0
63,0.036,0.003,R0,20.0
64,0.036,0.004,R0,20.0
65,0.036,0.005,R0,20.0
66,0.036,0.006,R0,20.0
67,0.036,0.007,R0,20.0
68,0.036,0.008,R0,20.0
69,0.036,0.009,R0,20.0
70,0.042,0.0,R0,20.0
71,0.042,0.001,R0,20.0
72,0.042,0.002,R0,20.0
73,0.042,0.003,R0,20.0
74,0.042,0.004,R0,20.0
75,0.042,0.005,R0,20.0
76,0.042,0.006,R0,20.0
77,0.042,0.007,R0,20.0
78,0.042,0.008,R0,20.0
79,0.042,0.009,R0,20.0
80,0.048,0.0,R0,20.0
81,0.048,0.001,R0,20.0
82,0.048,0.002,R0,20.0
83,0.048,0.003,R0,20.0
84,0.048,0.004,R0,20.0
85,0.048,0.005,R0,20.0
86,0.048,0.006,R0,20.0
87,0.048,0.007,R0,20.0
88,0.048,0.008,R0,20.0
89,0.048,0.009,R0,20.0
90,0.054,0.0,R0,20.0
91,0.054,0.001,R0,20.0
92,0.054,0.002,R0,20.0
93,0.054,0.003,R0,20.0
94,0.054,0.004,R0,20.0
95,0.054,0.005,R0,20.0
96,0.054,0.006,R0,20.0
97,0.054,0.007,R0,20.0
98,0.054,0.008,R0,20.0
99,0.054,0.009,R0,20.0
