,SAA,SAa,time,freq,orig
0,0.0,0.0,20,0.316455544286,0.023
1,0.0,0.0,40,0.310920335714,0.023
2,0.0,0.0,60,0.306750151429,0.023
3,0.0,0.0,80,0.302794951429,0.023
4,0.002,0.001,20,0.30183699,0.023
5,0.002,0.001,40,0.276704421429,0.023
6,0.002,0.001,60,0.253644632857,0.023
7,0.002,0.001,80,0.231225477143,0.023
8,0.004,0.002,20,0.278023428571,0.02
9,0.004,0.002,40,0.232106362857,0.02
10,0.004,0.002,60,0.192148891429,0.02
11,0.004,0.002,80,0.157266321429,0.02
12,0.006,0.003,20,0.254891677143,0.018
13,0.006,0.003,40,0.193016527143,0.018
14,0.006,0.003,60,0.143294667143,0.018
15,0.006,0.003,80,0.104455361429,0.018
16,0.008,0.004,20,0.232897245714,0.023
17,0.008,0.004,40,0.158309405714,0.023
18,0.008,0.004,60,0.104460794286,0.023
19,0.008,0.004,80,0.0671800771429,0.023
20,0.01,0.005,20,0.212538951429,0.02
21,0.01,0.005,40,0.129243462857,0.02
22,0.01,0.005,60,0.0753928157143,0.02
23,0.01,0.005,80,0.0428999142857,0.02
24,0.012,0.006,20,0.193556432857,0.028
25,0.012,0.006,40,0.104488481429,0.028
26,0.012,0.006,60,0.0538048328571,0.028
27,0.012,0.006,80,0.0269856057143,0.028
28,0.014,0.007,20,0.17628299,0.03
29,0.014,0.007,40,0.0848017057143,0.03
30,0.014,0.007,60,0.0384890185714,0.03
31,0.014,0.007,80,0.01701064,0.03
32,0.016,0.008,20,0.159307757143,0.024
33,0.016,0.008,40,0.0679658071429,0.024
34,0.016,0.008,60,0.0272430728571,0.024
35,0.016,0.008,80,0.01065182,0.024
36,0.018,0.009,20,0.143990414286,0.024
37,0.018,0.009,40,0.0541944057143,0.024
38,0.018,0.009,60,0.0191604285714,0.024
39,0.018,0.009,80,0.00659787571429,0.024
40,0.02,0.01,20,0.129983038571,0.024
41,0.02,0.01,40,0.0432367657143,0.024
42,0.02,0.01,60,0.0134037328571,0.024
43,0.02,0.01,80,0.00408473142857,0.024
44,0.022,0.011,20,0.117035862857,0.024
45,0.022,0.011,40,0.03437846,0.024
46,0.022,0.011,60,0.00942304,0.024
47,0.022,0.011,80,0.00256911857143,0.024
48,0.024,0.012,20,0.10545736,0.022
49,0.024,0.012,40,0.0273524,0.022
50,0.024,0.012,60,0.00663347142857,0.022
51,0.024,0.012,80,0.00156680142857,0.022
52,0.026,0.013,20,0.0946903428571,0.023
53,0.026,0.013,40,0.0214750314286,0.023
54,0.026,0.013,60,0.00463238142857,0.023
55,0.026,0.013,80,0.000971322857143,0.023
56,0.028,0.014,20,0.0849613814286,0.022
57,0.028,0.014,40,0.0172324828571,0.022
58,0.028,0.014,60,0.00329207285714,0.022
59,0.028,0.014,80,0.000624344285714,0.022
60,0.03,0.015,20,0.0760882585714,0.03
61,0.03,0.015,40,0.0135726257143,0.03
62,0.03,0.015,60,0.00230339428571,0.03
63,0.03,0.015,80,0.000386017142857,0.03
64,0.032,0.016,20,0.0681877814286,0.025
65,0.032,0.016,40,0.01071108,0.025
66,0.032,0.016,60,0.00159000285714,0.025
67,0.032,0.016,80,0.000248735714286,0.025
68,0.034,0.017,20,0.06116111,0.018
69,0.034,0.017,40,0.00846219857143,0.018
70,0.034,0.017,60,0.00111142428571,0.018
71,0.034,0.017,80,0.000156467142857,0.018
72,0.036,0.018,20,0.0545908942857,0.025
73,0.036,0.018,40,0.00670024714286,0.025
74,0.036,0.018,60,0.000794411428571,0.025
75,0.036,0.018,80,9.48842857143e-05,0.025
76,0.038,0.019,20,0.0489069257143,0.014
77,0.038,0.019,40,0.00526508857143,0.014
78,0.038,0.019,60,0.000548605714286,0.014
79,0.038,0.019,80,5.63871428571e-05,0.014
80,0.04,0.02,20,0.0436389014286,0.02
81,0.04,0.02,40,0.00414662857143,0.02
82,0.04,0.02,60,0.000389008571429,0.02
83,0.04,0.02,80,3.64914285714e-05,0.02
84,0.042,0.021,20,0.0389444285714,0.026
85,0.042,0.021,40,0.00329359714286,0.026
86,0.042,0.021,60,0.000254914285714,0.026
87,0.042,0.021,80,2.22028571429e-05,0.026
88,0.044,0.022,20,0.03472545,0.019
89,0.044,0.022,40,0.00258130142857,0.019
90,0.044,0.022,60,0.00019059,0.019
91,0.044,0.022,80,1.558e-05,0.019
92,0.046,0.023,20,0.0309129228571,0.025
93,0.046,0.023,40,0.00203201,0.025
94,0.046,0.023,60,0.000136691428571,0.025
95,0.046,0.023,80,1.19614285714e-05,0.025
96,0.048,0.024,20,0.0276219014286,0.02
97,0.048,0.024,40,0.00163248142857,0.02
98,0.048,0.024,60,9.659e-05,0.02
99,0.048,0.024,80,9.10428571429e-06,0.02
100,0.05,0.025,20,0.0246856757143,0.016
101,0.05,0.025,40,0.00128000428571,0.016
102,0.05,0.025,60,6.36757142857e-05,0.016
103,0.05,0.025,80,5.95428571429e-06,0.016
104,0.052,0.026,20,0.0218899714286,0.012
105,0.052,0.026,40,0.00102216571429,0.012
106,0.052,0.026,60,5.08414285714e-05,0.012
107,0.052,0.026,80,4.68428571429e-06,0.012
108,0.054,0.027,20,0.0195634157143,0.014
109,0.054,0.027,40,0.000789394285714,0.014
110,0.054,0.027,60,2.961e-05,0.014
111,0.054,0.027,80,4.01571428571e-06,0.014
112,0.056,0.028,20,0.0173626371429,0.013
113,0.056,0.028,40,0.000625764285714,0.013
114,0.056,0.028,60,2.35714285714e-05,0.013
115,0.056,0.028,80,3.68e-06,0.013
116,0.058,0.029,20,0.0155506657143,0.029
117,0.058,0.029,40,0.000491924285714,0.029
118,0.058,0.029,60,1.75428571429e-05,0.029
119,0.058,0.029,80,3.40857142857e-06,0.029
120,0.06,0.03,20,0.0137765,0.018
121,0.06,0.03,40,0.000383104285714,0.018
122,0.06,0.03,60,1.29342857143e-05,0.018
123,0.06,0.03,80,3.04428571429e-06,0.018
124,0.062,0.031,20,0.0123045871429,0.03
125,0.062,0.031,40,0.000311555714286,0.03
126,0.062,0.031,60,1.008e-05,0.03
127,0.062,0.031,80,2.93142857143e-06,0.03
128,0.064,0.032,20,0.0108956714286,0.02
129,0.064,0.032,40,0.000246855714286,0.02
130,0.064,0.032,60,7.98285714286e-06,0.02
131,0.064,0.032,80,3.08714285714e-06,0.02
132,0.066,0.033,20,0.00979663285714,0.032
133,0.066,0.033,40,0.00019966,0.032
134,0.066,0.033,60,6.19e-06,0.032
135,0.066,0.033,80,2.92714285714e-06,0.032
136,0.068,0.034,20,0.00863942285714,0.025
137,0.068,0.034,40,0.000158278571429,0.025
138,0.068,0.034,60,6.15e-06,0.025
139,0.068,0.034,80,2.90857142857e-06,0.025
140,0.07,0.035,20,0.00772423,0.03
141,0.07,0.035,40,0.000117714285714,0.03
142,0.07,0.035,60,4.50428571429e-06,0.03
143,0.07,0.035,80,2.85714285714e-06,0.03
144,0.072,0.036,20,0.00686285285714,0.01
145,0.072,0.036,40,9.51842857143e-05,0.01
146,0.072,0.036,60,3.82142857143e-06,0.01
147,0.072,0.036,80,2.85714285714e-06,0.01
148,0.074,0.037,20,0.00608657428571,0.017
