,SAA,SAa,time,freq,orig
0,2e-05,0.0,20,0.316391907143,0.033
1,2e-05,0.0,40,0.311040885714,0.033
2,2e-05,0.0,60,0.306295352857,0.033
3,2e-05,0.0,80,0.302798821429,0.033
4,0.00202,0.0,20,0.30929587,0.027
5,0.00202,0.0,40,0.29386076,0.027
6,0.00202,0.0,60,0.279695685714,0.027
7,0.00202,0.0,80,0.265777222857,0.027
8,0.00402,0.0,20,0.295546695714,0.03
9,0.00402,0.0,40,0.268225314286,0.03
10,0.00402,0.0,60,0.244472851429,0.03
11,0.00402,0.0,80,0.224024241429,0.03
12,0.00602,0.0,20,0.282208215714,0.023
13,0.00602,0.0,40,0.24497064,0.023
14,0.00602,0.0,60,0.21516947,0.023
15,0.00602,0.0,80,0.191112264286,0.023
16,0.00802,0.0,20,0.269264398571,0.021
17,0.00802,0.0,40,0.224881364286,0.021
18,0.00802,0.0,60,0.191536788571,0.021
19,0.00802,0.0,80,0.16596824,0.021
20,0.01002,0.0,20,0.257521004286,0.018
21,0.01002,0.0,40,0.207663595714,0.018
22,0.01002,0.0,60,0.17218313,0.018
23,0.01002,0.0,80,0.146067221429,0.018
24,0.01202,0.0,20,0.24576209,0.024
25,0.01202,0.0,40,0.192337437143,0.024
26,0.01202,0.0,60,0.156117128571,0.024
27,0.01202,0.0,80,0.129919145714,0.024
28,0.01402,0.0,20,0.235490904286,0.02
29,0.01402,0.0,40,0.179003001429,0.02
30,0.01402,0.0,60,0.142879325714,0.02
31,0.01402,0.0,80,0.117948397143,0.02
32,0.01602,0.0,20,0.225696944286,0.024
33,0.01602,0.0,40,0.167350131429,0.024
34,0.01602,0.0,60,0.131142454286,0.024
35,0.01602,0.0,80,0.10698639,0.024
36,0.01802,0.0,20,0.216661851429,0.022
37,0.01802,0.0,40,0.156488854286,0.022
38,0.01802,0.0,60,0.120819778571,0.022
39,0.01802,0.0,80,0.0978340185714,0.022
40,0.02002,0.0,20,0.208359174286,0.019
41,0.02002,0.0,40,0.146965617143,0.019
42,0.02002,0.0,60,0.112415402857,0.019
43,0.02002,0.0,80,0.0902110957143,0.019
44,0.02202,0.0,20,0.200489314286,0.025
45,0.02202,0.0,40,0.138886921429,0.025
46,0.02202,0.0,60,0.10452215,0.025
47,0.02202,0.0,80,0.0835462085714,0.025
48,0.02402,0.0,20,0.192680615714,0.016
49,0.02402,0.0,40,0.131001912857,0.016
50,0.02402,0.0,60,0.0977015114286,0.016
51,0.02402,0.0,80,0.0772664457143,0.016
52,0.02602,0.0,20,0.185686781429,0.018
53,0.02602,0.0,40,0.12457811,0.018
54,0.02602,0.0,60,0.0923779228571,0.018
55,0.02602,0.0,80,0.0724448814286,0.018
56,0.02802,0.0,20,0.179768495714,0.021
57,0.02802,0.0,40,0.117989518571,0.021
58,0.02802,0.0,60,0.0866705685714,0.021
59,0.02802,0.0,80,0.0680324257143,0.021
60,0.03002,0.0,20,0.173288971429,0.026
61,0.03002,0.0,40,0.112541528571,0.026
62,0.03002,0.0,60,0.0818479685714,0.026
63,0.03002,0.0,80,0.0637634,0.026
64,0.03202,0.0,20,0.167701011429,0.027
