,sel,mig,pibin,pifreq
0,0.006,0.0,0,1
1,0.006,0.001,10,1
2,0.012,0.0,0,3
3,0.012,0.001,0,3
4,0.012,0.002,0,2
5,0.012,0.002,5,1
6,0.012,0.003,0,3
7,0.012,0.004,0,1
8,0.012,0.004,3,2
9,0.012,0.006,0,1
10,0.012,0.008,0,1
11,0.012,0.009,0,1
12,0.018,0.0,0,103
13,0.018,0.001,0,68
14,0.018,0.001,3,1
15,0.018,0.001,5,1
16,0.018,0.001,7,1
17,0.018,0.001,11,1
18,0.018,0.001,12,3
19,0.018,0.002,0,27
20,0.018,0.002,1,5
21,0.018,0.002,2,1
22,0.018,0.002,4,1
23,0.018,0.002,8,2
24,0.018,0.002,13,1
25,0.018,0.003,0,28
26,0.018,0.003,2,1
27,0.018,0.003,5,1
28,0.018,0.003,8,2
29,0.018,0.004,0,37
30,0.018,0.004,1,1
31,0.018,0.004,4,1
32,0.018,0.004,7,3
33,0.018,0.004,8,1
34,0.018,0.004,14,1
35,0.018,0.004,16,1
36,0.018,0.004,17,1
37,0.018,0.005,0,25
38,0.018,0.005,2,1
39,0.018,0.005,3,1
40,0.018,0.005,5,1
41,0.018,0.006,0,38
42,0.018,0.006,4,2
43,0.018,0.006,8,2
44,0.018,0.007,0,19
45,0.018,0.007,2,1
46,0.018,0.007,3,3
47,0.018,0.007,11,3
48,0.018,0.008,0,37
49,0.018,0.008,2,1
50,0.018,0.008,3,2
51,0.018,0.008,4,1
52,0.018,0.008,5,3
53,0.018,0.008,12,1
54,0.018,0.009,0,43
55,0.018,0.009,1,1
56,0.018,0.009,2,1
57,0.018,0.009,11,2
58,0.024,0.0,0,2417
59,0.024,0.0,1,1
60,0.024,0.0,3,6
61,0.024,0.0,6,24
62,0.024,0.001,0,1231
63,0.024,0.001,1,36
64,0.024,0.001,2,30
65,0.024,0.001,3,19
66,0.024,0.001,4,38
67,0.024,0.001,5,12
68,0.024,0.001,6,5
69,0.024,0.001,7,5
70,0.024,0.001,8,8
71,0.024,0.001,9,13
72,0.024,0.001,11,1
73,0.024,0.001,12,2
74,0.024,0.001,13,1
75,0.024,0.001,16,2
76,0.024,0.001,19,2
77,0.024,0.002,0,888
78,0.024,0.002,1,10
79,0.024,0.002,2,7
80,0.024,0.002,3,8
81,0.024,0.002,4,11
82,0.024,0.002,5,18
83,0.024,0.002,6,25
84,0.024,0.002,7,10
85,0.024,0.002,8,17
86,0.024,0.002,9,14
87,0.024,0.002,10,7
88,0.024,0.002,11,13
89,0.024,0.002,12,6
90,0.024,0.002,13,21
91,0.024,0.002,14,13
92,0.024,0.002,17,2
93,0.024,0.003,0,741
94,0.024,0.003,1,12
95,0.024,0.003,2,12
96,0.024,0.003,3,21
97,0.024,0.003,4,8
98,0.024,0.003,5,15
99,0.024,0.003,6,5
100,0.024,0.003,7,19
101,0.024,0.003,8,18
102,0.024,0.003,9,27
103,0.024,0.003,10,3
104,0.024,0.003,11,3
105,0.024,0.003,12,11
106,0.024,0.003,13,4
107,0.024,0.003,14,6
108,0.024,0.003,15,4
109,0.024,0.003,16,1
110,0.024,0.003,17,4
111,0.024,0.003,18,1
112,0.024,0.003,19,1
113,0.024,0.004,0,833
114,0.024,0.004,1,40
115,0.024,0.004,2,13
116,0.024,0.004,3,8
117,0.024,0.004,4,31
118,0.024,0.004,5,12
119,0.024,0.004,6,7
120,0.024,0.004,7,26
121,0.024,0.004,8,12
122,0.024,0.004,9,18
123,0.024,0.004,10,9
124,0.024,0.004,11,12
125,0.024,0.004,12,6
126,0.024,0.004,13,10
127,0.024,0.004,14,22
128,0.024,0.004,15,1
129,0.024,0.004,16,7
130,0.024,0.004,18,1
131,0.024,0.005,0,874
132,0.024,0.005,1,22
133,0.024,0.005,2,5
134,0.024,0.005,3,40
135,0.024,0.005,4,10
136,0.024,0.005,5,24
137,0.024,0.005,6,18
138,0.024,0.005,7,8
139,0.024,0.005,8,20
140,0.024,0.005,9,28
141,0.024,0.005,10,11
142,0.024,0.005,11,7
143,0.024,0.005,12,8
144,0.024,0.005,13,5
145,0.024,0.005,14,5
146,0.024,0.005,16,9
147,0.024,0.005,17,5
148,0.024,0.006,0,901
149,0.024,0.006,1,16
150,0.024,0.006,2,19
151,0.024,0.006,3,12
152,0.024,0.006,4,15
153,0.024,0.006,5,17
154,0.024,0.006,6,7
155,0.024,0.006,7,17
156,0.024,0.006,8,21
157,0.024,0.006,9,40
158,0.024,0.006,10,28
159,0.024,0.006,11,20
160,0.024,0.006,12,15
161,0.024,0.006,13,11
162,0.024,0.006,14,2
163,0.024,0.006,15,7
164,0.024,0.006,16,3
165,0.024,0.006,17,1
166,0.024,0.006,18,4
167,0.024,0.006,19,3
168,0.024,0.007,0,810
169,0.024,0.007,1,13
170,0.024,0.007,2,4
171,0.024,0.007,3,13
172,0.024,0.007,4,27
173,0.024,0.007,5,9
174,0.024,0.007,6,7
175,0.024,0.007,7,14
176,0.024,0.007,8,8
177,0.024,0.007,9,16
178,0.024,0.007,10,6
179,0.024,0.007,11,6
180,0.024,0.007,12,6
181,0.024,0.007,13,8
182,0.024,0.007,14,1
183,0.024,0.007,15,2
184,0.024,0.007,17,1
185,0.024,0.007,19,6
186,0.024,0.008,0,807
187,0.024,0.008,1,23
188,0.024,0.008,2,4
189,0.024,0.008,3,21
190,0.024,0.008,4,4
191,0.024,0.008,5,21
192,0.024,0.008,6,16
193,0.024,0.008,7,27
194,0.024,0.008,8,14
195,0.024,0.008,9,29
196,0.024,0.008,10,9
197,0.024,0.008,11,16
198,0.024,0.008,12,27
199,0.024,0.008,13,8
200,0.024,0.008,14,5
201,0.024,0.008,15,3
202,0.024,0.008,16,2
203,0.024,0.008,18,2
204,0.024,0.008,23,2
205,0.024,0.009,0,961
206,0.024,0.009,1,37
207,0.024,0.009,2,21
208,0.024,0.009,3,17
209,0.024,0.009,4,25
210,0.024,0.009,5,41
211,0.024,0.009,6,21
212,0.024,0.009,7,31
213,0.024,0.009,8,13
214,0.024,0.009,9,14
215,0.024,0.009,10,27
216,0.024,0.009,11,6
217,0.024,0.009,12,9
218,0.024,0.009,13,3
219,0.024,0.009,14,7
220,0.024,0.009,15,4
221,0.024,0.009,18,2
222,0.024,0.009,19,4
223,0.024,0.009,20,8
224,0.03,0.0,0,15235
225,0.03,0.0,1,171
226,0.03,0.0,3,71
227,0.03,0.0,5,12
228,0.03,0.0,10,70
229,0.03,0.0,11,67
230,0.03,0.0,14,12
231,0.03,0.0,17,2
232,0.03,0.001,0,12853
233,0.03,0.001,1,239
234,0.03,0.001,2,84
235,0.03,0.001,3,142
236,0.03,0.001,4,169
237,0.03,0.001,5,113
238,0.03,0.001,6,160
239,0.03,0.001,7,150
240,0.03,0.001,8,156
241,0.03,0.001,9,197
242,0.03,0.001,10,78
243,0.03,0.001,11,175
244,0.03,0.001,12,252
245,0.03,0.001,13,47
246,0.03,0.001,14,42
247,0.03,0.001,15,6
248,0.03,0.001,16,24
249,0.03,0.001,17,6
250,0.03,0.001,18,21
251,0.03,0.001,19,82
252,0.03,0.001,20,11
253,0.03,0.001,21,12
254,0.03,0.002,0,14908
255,0.03,0.002,1,266
256,0.03,0.002,2,147
