,sel,mig,pibin,pifreq
0,0.006,0.0,0,4
1,0.006,0.001,0,1
2,0.006,0.002,0,2
3,0.006,0.003,0,1
4,0.006,0.004,0,1
5,0.006,0.005,0,1
6,0.006,0.006,0,2
7,0.006,0.007,0,1
8,0.006,0.008,0,1
9,0.012,0.0,0,1897
10,0.012,0.0,1,21
11,0.012,0.0,4,22
12,0.012,0.001,0,1105
13,0.012,0.001,1,19
14,0.012,0.001,2,2
15,0.012,0.001,3,12
16,0.012,0.001,4,7
17,0.012,0.001,5,5
18,0.012,0.001,6,3
19,0.012,0.001,7,19
20,0.012,0.001,8,7
21,0.012,0.001,9,2
22,0.012,0.001,10,3
23,0.012,0.001,11,2
24,0.012,0.001,12,2
25,0.012,0.001,13,5
26,0.012,0.001,15,3
27,0.012,0.001,16,1
28,0.012,0.001,17,1
29,0.012,0.001,19,2
30,0.012,0.001,20,4
31,0.012,0.001,21,2
32,0.012,0.002,0,709
33,0.012,0.002,1,13
34,0.012,0.002,2,9
35,0.012,0.002,3,8
36,0.012,0.002,4,8
37,0.012,0.002,5,11
38,0.012,0.002,6,12
39,0.012,0.002,7,2
40,0.012,0.002,8,12
41,0.012,0.002,9,10
42,0.012,0.002,10,4
43,0.012,0.002,11,8
44,0.012,0.002,13,10
45,0.012,0.002,14,2
46,0.012,0.002,16,2
47,0.012,0.002,18,3
48,0.012,0.002,19,1
49,0.012,0.002,20,4
50,0.012,0.003,0,660
51,0.012,0.003,1,27
52,0.012,0.003,2,16
53,0.012,0.003,3,3
54,0.012,0.003,4,7
55,0.012,0.003,5,12
56,0.012,0.003,6,11
57,0.012,0.003,7,6
58,0.012,0.003,8,18
59,0.012,0.003,9,3
60,0.012,0.003,10,3
61,0.012,0.003,11,13
62,0.012,0.003,12,13
63,0.012,0.003,13,6
64,0.012,0.003,14,5
65,0.012,0.003,15,3
66,0.012,0.003,16,7
67,0.012,0.003,17,16
68,0.012,0.003,18,1
69,0.012,0.003,20,8
70,0.012,0.003,22,6
71,0.012,0.003,26,2
72,0.012,0.003,28,1
73,0.012,0.004,0,628
74,0.012,0.004,1,21
75,0.012,0.004,2,23
76,0.012,0.004,3,22
77,0.012,0.004,4,12
78,0.012,0.004,5,14
79,0.012,0.004,6,6
80,0.012,0.004,7,11
81,0.012,0.004,8,24
82,0.012,0.004,9,11
83,0.012,0.004,10,6
84,0.012,0.004,11,3
85,0.012,0.004,14,1
86,0.012,0.004,15,2
87,0.012,0.004,16,1
88,0.012,0.004,18,1
89,0.012,0.004,21,2
90,0.012,0.004,22,1
91,0.012,0.005,0,610
92,0.012,0.005,1,25
93,0.012,0.005,2,32
94,0.012,0.005,3,23
95,0.012,0.005,4,6
96,0.012,0.005,5,8
97,0.012,0.005,7,12
98,0.012,0.005,8,18
99,0.012,0.005,9,2
100,0.012,0.005,10,2
101,0.012,0.005,11,7
102,0.012,0.005,12,1
103,0.012,0.005,14,4
104,0.012,0.005,15,7
105,0.012,0.005,16,4
106,0.012,0.005,17,4
107,0.012,0.005,18,1
108,0.012,0.005,19,2
109,0.012,0.005,23,1
110,0.012,0.006,0,781
111,0.012,0.006,1,24
112,0.012,0.006,2,11
113,0.012,0.006,3,24
114,0.012,0.006,4,7
115,0.012,0.006,5,12
116,0.012,0.006,6,3
117,0.012,0.006,7,6
118,0.012,0.006,8,2
