,sel,mig,pibin,pifreq
0,0.006,0.0,0,5
1,0.006,0.002,0,1
2,0.006,0.003,0,1
3,0.006,0.004,0,1
4,0.006,0.007,0,2
5,0.006,0.008,0,1
6,0.006,0.009,0,1
7,0.012,0.0,0,1394
8,0.012,0.0,5,2
9,0.012,0.001,0,847
10,0.012,0.001,1,12
11,0.012,0.001,2,19
12,0.012,0.001,3,1
13,0.012,0.001,4,18
14,0.012,0.001,5,10
15,0.012,0.001,6,4
16,0.012,0.001,7,4
17,0.012,0.001,8,3
18,0.012,0.001,9,6
19,0.012,0.001,10,12
20,0.012,0.001,11,8
21,0.012,0.001,12,9
22,0.012,0.001,13,4
23,0.012,0.002,0,765
24,0.012,0.002,1,11
25,0.012,0.002,2,9
26,0.012,0.002,3,9
27,0.012,0.002,4,8
28,0.012,0.002,5,16
29,0.012,0.002,6,18
30,0.012,0.002,7,8
31,0.012,0.002,8,17
32,0.012,0.002,9,7
33,0.012,0.002,10,21
34,0.012,0.002,11,10
35,0.012,0.002,12,6
36,0.012,0.002,13,11
37,0.012,0.002,14,10
38,0.012,0.002,15,2
39,0.012,0.002,16,7
40,0.012,0.002,17,4
41,0.012,0.003,0,721
42,0.012,0.003,1,14
43,0.012,0.003,2,12
44,0.012,0.003,3,7
45,0.012,0.003,4,28
46,0.012,0.003,5,8
47,0.012,0.003,6,29
48,0.012,0.003,7,19
49,0.012,0.003,8,22
50,0.012,0.003,9,14
51,0.012,0.003,10,17
52,0.012,0.003,11,6
53,0.012,0.003,12,6
54,0.012,0.003,13,16
55,0.012,0.003,14,8
56,0.012,0.003,15,6
57,0.012,0.003,16,3
58,0.012,0.003,17,6
59,0.012,0.003,18,5
60,0.012,0.003,20,1
61,0.012,0.004,0,753
62,0.012,0.004,1,22
63,0.012,0.004,2,16
64,0.012,0.004,3,18
65,0.012,0.004,4,14
66,0.012,0.004,5,34
67,0.012,0.004,6,9
68,0.012,0.004,7,10
69,0.012,0.004,8,7
70,0.012,0.004,9,8
71,0.012,0.004,10,1
72,0.012,0.004,11,22
73,0.012,0.004,12,14
74,0.012,0.004,13,12
75,0.012,0.004,14,12
76,0.012,0.004,15,3
77,0.012,0.004,17,3
78,0.012,0.005,0,634
79,0.012,0.005,1,27
80,0.012,0.005,2,11
81,0.012,0.005,3,12
82,0.012,0.005,4,7
83,0.012,0.005,5,9
84,0.012,0.005,6,22
85,0.012,0.005,7,8
86,0.012,0.005,8,17
87,0.012,0.005,9,10
88,0.012,0.005,10,12
89,0.012,0.005,11,9
90,0.012,0.005,12,6
91,0.012,0.005,13,5
92,0.012,0.005,16,2
93,0.012,0.005,17,1
94,0.012,0.006,0,739
95,0.012,0.006,1,31
96,0.012,0.006,2,16
97,0.012,0.006,3,20
98,0.012,0.006,4,16
99,0.012,0.006,5,14
100,0.012,0.006,6,7
101,0.012,0.006,7,29
102,0.012,0.006,8,8
103,0.012,0.006,9,15
104,0.012,0.006,10,9
105,0.012,0.006,11,11
106,0.012,0.006,12,6
107,0.012,0.006,13,8
108,0.012,0.006,14,4
109,0.012,0.006,15,1
110,0.012,0.006,17,1
111,0.012,0.006,22,1
112,0.012,0.007,0,582
113,0.012,0.007,1,9
114,0.012,0.007,2,10
115,0.012,0.007,3,26
116,0.012,0.007,4,22
117,0.012,0.007,5,21
118,0.012,0.007,6,5
119,0.012,0.007,7,12
120,0.012,0.007,8,20
121,0.012,0.007,9,8
122,0.012,0.007,10,6
123,0.012,0.007,11,6
124,0.012,0.007,12,9
125,0.012,0.007,13,17
126,0.012,0.007,14,5
127,0.012,0.007,15,7
128,0.012,0.007,18,1
129,0.012,0.008,0,680
130,0.012,0.008,1,20
131,0.012,0.008,2,13
132,0.012,0.008,3,40
133,0.012,0.008,4,18
134,0.012,0.008,5,27
135,0.012,0.008,6,12
136,0.012,0.008,7,12
137,0.012,0.008,8,27
138,0.012,0.008,9,19
139,0.012,0.008,10,7
140,0.012,0.008,11,14
141,0.012,0.008,12,8
142,0.012,0.008,13,2
143,0.012,0.008,14,7
144,0.012,0.008,15,3
145,0.012,0.008,16,1
146,0.012,0.008,17,3
147,0.012,0.009,0,778
148,0.012,0.009,1,13
149,0.012,0.009,2,9
150,0.012,0.009,3,6
151,0.012,0.009,4,12
152,0.012,0.009,5,31
153,0.012,0.009,6,14
154,0.012,0.009,7,9
155,0.012,0.009,8,8
156,0.012,0.009,9,11
157,0.012,0.009,10,22
158,0.012,0.009,11,17
159,0.012,0.009,12,4
160,0.012,0.009,13,3
161,0.012,0.009,14,5
162,0.012,0.009,16,3
163,0.012,0.009,18,3
164,0.018,0.0,0,15421
165,0.018,0.0,1,67
166,0.018,0.0,2,13
167,0.018,0.0,3,27
168,0.018,0.0,4,31
169,0.018,0.0,6,45
170,0.018,0.0,14,9
171,0.018,0.001,0,25904
172,0.018,0.001,1,848
173,0.018,0.001,2,232
174,0.018,0.001,3,262
175,0.018,0.001,4,416
176,0.018,0.001,5,234
177,0.018,0.001,6,418
178,0.018,0.001,7,321
179,0.018,0.001,8,419
180,0.018,0.001,9,447
181,0.018,0.001,10,363
